ua,lon,lat,uf,bioma,municipio,lote,data,impedimento,status_derivado,fontes
GO_403,-49.50055,-15.84015,GO,Cerrado,Jaraguá,GO-01,2018/04/11 00:00:00,,medido_completo,ua|uso
GO_404,-49.32004,-15.84001,GO,Cerrado,São Francisco de Goiás,GO-02,2018/03/12 00:00:00,,medido_completo,ua|uso
GO_406,-48.96025,-15.84016,GO,Cerrado,Pirenópolis,GO-02,2018/03/14 00:00:00,,medido_completo,ua|uso
GO_407,-48.7802,-15.84007,GO,Cerrado,Corumbá de Goiás,GO-02,2018/03/12 00:00:00,,medido_completo,ua|uso
GO_408,-48.60008,-15.84022,GO,Cerrado,Corumbá de Goiás,GO-02,2018/03/09 00:00:00,,medido_completo,ua|uso
GO_409,-48.42045,-15.84025,GO,Cerrado,Cocalzinho de Goiás,GO-02,2018/03/19 00:00:00,,medido_completo,ua|uso
GO_41,-47.34022,-13.31998,GO,Cerrado,Monte Alegre de Goiás,GO-01,2018/10/31 00:00:00,,medido_completo,ua|uso
GO_410,-47.34029,-15.84003,GO,Cerrado,Formosa,,2018/11/05 00:00:00,,medido_biofisico,ua
GO_411,-47.16016,-15.83992,GO,Cerrado,Formosa,,2018/11/06 00:00:00,,medido_biofisico,ua
GO_412,-46.98005,-15.84012,GO,Cerrado,Cabeceiras,GO-01,2018/06/11 00:00:00,,medido_completo,ua|uso
GO_413,-52.20036,-16.02004,GO,Cerrado,Aragarças,GO-03,2018/06/26 00:00:00,,medido_completo,ua|uso
GO_414,-52.02016,-16.01991,GO,Cerrado,Bom Jardim de Goiás,GO-03,2018/06/22 00:00:00,,medido_completo,ua|uso
GO_415,-51.84048,-16.02002,GO,Cerrado,Bom Jardim de Goiás,GO-03,2018/06/19 00:00:00,,medido_completo,ua|uso
GO_416,-51.66054,-16.02017,GO,Cerrado,Montes Claros de Goiás,GO-03,2018/06/19 00:00:00,,medido_completo,ua|uso
GO_417,-51.48036,-16.02004,GO,Cerrado,Montes Claros de Goiás,GO-03,2018/06/25 00:00:00,,medido_completo,ua|uso
GO_418,-51.30011,-16.02007,GO,Cerrado,Montes Claros de Goiás,GO-03,2018/06/18 00:00:00,,medido_completo,ua|uso
GO_419,-51.12003,-16.02003,GO,Cerrado,Fazenda Nova,GO-03,2018/03/22 00:00:00,,medido_completo,ua|uso
GO_42,-47.16003,-13.31995,GO,Cerrado,Monte Alegre de Goiás,GO-01,2018/10/04 00:00:00,,medido_completo,ua|uso
GO_420,-50.94032,-16.02018,GO,Cerrado,Jussara,GO-03,2018/03/21 00:00:00,,medido_completo,ua|uso
GO_421,-50.76034,-16.02014,GO,Cerrado,Novo Brasil,GO-03,2018/03/22 00:00:00,,medido_completo,ua|uso
GO_422,-50.58058,-16.02031,GO,Cerrado,Itapirapuã,GO-03,2018/03/23 00:00:00,,medido_completo,ua|uso
GO_423,-50.40007,-16.01996,GO,Cerrado,Goiás,GO-03,2018/04/06 00:00:00,,medido_completo,ua|uso
GO_424,-50.22055,-16.02014,GO,Cerrado,Goiás,GO-03,2018/04/13 00:00:00,,medido_completo,ua|uso
